id,file_uri,file_local_enumeration,tuning,tstart,signal_frequency,signal_drift_rate,signal_snr,start_channel,signal_power,signal_incoherent_power
900273556,/mnt/cosmic-storage-2/data1/vla_target/23A-362.sb43789194.eb44583327.60212.544836180554/23A-362.sb43789194.eb44583327.60212.544836180554.9.1/23A-362.sb43789194.eb44583327.60212.544836180554.9.1.AC.C544.0000.raw.seticore.hits,90,AC,60212.56062466325,43127.24209583514,0.0,589.8931884765625,458881,19913464872960.0,19913464872960.0
900273351,/mnt/cosmic-storage-2/data1/vla_target/23A-362.sb43789194.eb44583327.60212.544836180554/23A-362.sb43789194.eb44583327.60212.544836180554.9.1/23A-362.sb43789194.eb44583327.60212.544836180554.9.1.AC.C384.0000.raw.seticore.hits,76,AC,60212.56062466325,42942.79377544635,-30.31649005909761,8.222026824951172,223707,700668575744.0,304509681664.0
900275351,/mnt/cosmic-storage-2/data1/vla_target/23A-362.sb43789194.eb44583327.60212.544836180554/23A-362.sb43789194.eb44583327.60212.544836180554.9.1/23A-362.sb43789194.eb44583327.60212.544836180554.9.1.BD.C576.0000.raw.seticore.hits,157,BD,60212.56062466325,42857.230192905416,0.0,327.81494140625,474182,11744813514752.0,11744813514752.0
900273583,/mnt/cosmic-storage-2/data1/vla_target/23A-362.sb43789194.eb44583327.60212.544836180554/23A-362.sb43789194.eb44583327.60212.544836180554.9.1/23A-362.sb43789194.eb44583327.60212.544836180554.9.1.BD.C384.0000.raw.seticore.hits,8,BD,60212.56062466325,42633.700012928,0.0,35.496463775634766,196215,1584878321664.0,1665442643968.0
900274190,/mnt/cosmic-storage-2/data1/vla_target/23A-362.sb43789194.eb44583327.60212.544836180554/23A-362.sb43789194.eb44583327.60212.544836180554.9.1/23A-362.sb43789194.eb44583327.60212.544836180554.9.1.BD.C608.0000.raw.seticore.hits,71,BD,60212.56062466325,42857.52064395522,0.0,26.506195068359375,102174,1122973646848.0,1122973646848.0
900275852,/mnt/cosmic-storage-2/data1/vla_target/23A-362.sb43789194.eb44583327.60212.544836180554/23A-362.sb43789194.eb44583327.60212.544836180554.9.1/23A-362.sb43789194.eb44583327.60212.544836180554.9.1.AC.C736.0000.raw.seticore.hits,37,AC,60212.56062466325,43287.64258564227,0.0,36.725467681884766,144565,1913458262016.0,1913458262016.0
900276054,/mnt/cosmic-storage-2/data1/vla_target/23A-362.sb43789194.eb44583327.60212.544836180554/23A-362.sb43789194.eb44583327.60212.544836180554.9.1/23A-362.sb43789194.eb44583327.60212.544836180554.9.1.AC.C576.0000.raw.seticore.hits,114,AC,60212.56062466325,43143.7916792702,0.0,8.61559009552002,222733,477357146112.0,512250609664.0
900275198,/mnt/cosmic-storage-2/data1/vla_target/23A-362.sb43789194.eb44583327.60212.544836180554/23A-362.sb43789194.eb44583327.60212.544836180554.9.1/23A-362.sb43789194.eb44583327.60212.544836180554.9.1.BD.C576.0000.raw.seticore.hits,4,BD,60212.56062466325,42825.630722766866,0.0,16.68600082397461,159887,815872540672.0,841816473600.0
900273508,/mnt/cosmic-storage-2/data1/vla_target/23A-362.sb43789194.eb44583327.60212.544836180554/23A-362.sb43789194.eb44583327.60212.544836180554.9.1/23A-362.sb43789194.eb44583327.60212.544836180554.9.1.AC.C544.0000.raw.seticore.hits,42,AC,60212.56062466325,43113.86025226825,0.0,11.04386043548584,258685,532275101696.0,532275101696.0
900274226,/mnt/cosmic-storage-2/data1/vla_target/23A-362.sb43789194.eb44583327.60212.544836180554/23A-362.sb43789194.eb44583327.60212.544836180554.9.1/23A-362.sb43789194.eb44583327.60212.544836180554.9.1.BD.C608.0000.raw.seticore.hits,107,BD,60212.56062466325,42889.23877978896,0.0,949.5176391601562,478684,40423326220288.0,40007427424256.0
