id,file_uri,file_local_enumeration
987266279,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.17.1/23B-169.sb44930600.eb44962607.60307.145388159726.17.1.AC.C736.0000.raw.seticore.hits,19
987269320,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.17.1/23B-169.sb44930600.eb44962607.60307.145388159726.17.1.AC.C736.0007.raw.seticore.hits,10
987273324,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.17.1/23B-169.sb44930600.eb44962607.60307.145388159726.17.1.AC.C736.0014.raw.seticore.hits,12
987274971,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.17.1/23B-169.sb44930600.eb44962607.60307.145388159726.17.1.AC.C736.0021.raw.seticore.hits,12
987278624,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.19.1/23B-169.sb44930600.eb44962607.60307.145388159726.19.1.AC.C736.0000.raw.seticore.hits,15
987281015,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.19.1/23B-169.sb44930600.eb44962607.60307.145388159726.19.1.AC.C736.0007.raw.seticore.hits,11
987285274,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.19.1/23B-169.sb44930600.eb44962607.60307.145388159726.19.1.AC.C736.0014.raw.seticore.hits,4
987287721,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.19.1/23B-169.sb44930600.eb44962607.60307.145388159726.19.1.AC.C736.0021.raw.seticore.hits,6
987292489,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.21.1/23B-169.sb44930600.eb44962607.60307.145388159726.21.1.AC.C736.0000.raw.seticore.hits,12
987301063,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.21.1/23B-169.sb44930600.eb44962607.60307.145388159726.21.1.AC.C736.0014.raw.seticore.hits,16
987301652,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.21.1/23B-169.sb44930600.eb44962607.60307.145388159726.21.1.AC.C736.0021.raw.seticore.hits,10
