,Unnamed: 0,id,beam_id,observation_id,tuning,subband_offset,file_uri,file_local_enumeration,signal_frequency,signal_index,signal_drift_steps,signal_drift_rate,signal_snr,signal_coarse_channel,signal_beam,signal_num_timesteps,signal_power,signal_incoherent_power,source_name,fch1_mhz,foff_mhz,tstart,tsamp,ra_hours,dec_degrees,telescope_id,num_timesteps,num_channels,coarse_channel,start_channel,tstart_h
40638,19457744,959307198,482111,17926,AC,576,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C576.0028.raw.seticore.hits,228,24310.829165840147,487150,-3,-1.559133774467877,19.60512351989746,0,0,8,609638285312.0,665637879808.0,3073619025268414208,24310.82908382416,1.9073486328125e-06,60295.47486542165,0.524288,8.638733333333333,-0.69966,0,8,82,0,487107,2023-12-17 11:23:48.372431
40681,19457787,959307336,482111,17926,AC,576,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C576.0028.raw.seticore.hits,271,24310.775313758848,458916,2,1.039422516311918,29.458038330078125,0,0,8,869567692800.0,806233243648.0,3073619025268414208,24310.775237464903,1.9073486328125e-06,60295.47486542165,0.524288,8.638733333333333,-0.69966,0,8,81,0,458876,2023-12-17 11:23:48.372431
40721,19457827,959307463,482112,17926,AC,576,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C576.0028.raw.seticore.hits,311,24310.829165840147,487150,-3,-1.559133774467877,27.79996490478516,0,1,8,665637879808.0,665637879808.0,Incoherent,24310.82908382416,1.9073486328125e-06,60295.47486542165,0.524288,8.63818611117221,-0.6929999990648925,0,8,82,0,487107,2023-12-17 11:23:48.372431
40722,19457828,959307466,482112,17926,AC,576,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C576.0028.raw.seticore.hits,312,24310.27497043609,196592,-3,-1.559133774467877,49.073368072509766,0,1,8,1097556951040.0,1097556951040.0,Incoherent,24310.274888420103,1.9073486328125e-06,60295.47486542165,0.524288,8.63818611117221,-0.6929999990648925,0,8,82,0,196549,2023-12-17 11:23:48.372431
40767,19457873,959307613,482112,17926,AC,576,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C576.0028.raw.seticore.hits,357,24310.775313758848,458916,2,1.039422516311918,34.7247428894043,0,1,8,806233243648.0,806233243648.0,Incoherent,24310.775237464903,1.9073486328125e-06,60295.47486542165,0.524288,8.63818611117221,-0.6929999990648925,0,8,81,0,458876,2023-12-17 11:23:48.372431
44229,19461335,959317780,482111,17926,AC,736,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C736.0028.raw.seticore.hits,175,24470.120454216,115581,-5,-2.5985562907797948,18.90041160583496,0,0,8,637446520832.0,512593985536.0,3073619025268414208,24470.120368385316,1.9073486328125e-06,60295.47486542165,0.524288,8.638733333333333,-0.69966,0,8,84,0,115536,2023-12-17 11:23:48.372431
44248,19461354,959317824,482111,17926,AC,736,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C736.0028.raw.seticore.hits,180,24470.14880313873,130444,-2,-1.039422516311918,35.269004821777344,0,0,8,1103220572160.0,1086423629824.0,3073619025268414208,24470.148723030088,1.9073486328125e-06,60295.47486542165,0.524288,8.638733333333333,-0.69966,0,8,81,0,130402,2023-12-17 11:23:48.372431
44314,19461420,959317975,482111,17926,AC,736,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C736.0028.raw.seticore.hits,197,24470.1012720108,105524,2,1.039422516311918,83.42237854003906,0,0,8,2473441624064.0,2474435411968.0,3073619025268414208,24470.101195716856,1.9073486328125e-06,60295.47486542165,0.524288,8.638733333333333,-0.69966,0,8,81,0,105484,2023-12-17 11:23:48.372431
44427,19461533,959318219,482112,17926,AC,736,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C736.0028.raw.seticore.hits,225,24470.14880313873,130444,-3,-1.559133774467877,44.768165588378906,0,1,8,1088685998080.0,1088685998080.0,Incoherent,24470.14872112274,1.9073486328125e-06,60295.47486542165,0.524288,8.63818611117221,-0.6929999990648925,0,8,82,0,130401,2023-12-17 11:23:48.372431
44500,19461606,959318378,482112,17926,AC,736,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C736.0028.raw.seticore.hits,243,24470.318662071222,219499,5,2.5985562907797948,20.993667602539062,0,1,8,568463851520.0,568463851520.0,Incoherent,24470.31858577728,1.9073486328125e-06,60295.47486542165,0.524288,8.63818611117221,-0.6929999990648925,0,8,84,0,219459,2023-12-17 11:23:48.372431
